ticker,name,exchange
arw,arrow electronics,nyse
arx,aeroflex holding,nyse
ary,ares capital corp.,nyse
asa,asa gold and precious metals,nyse
asc,ardmore shipping corporation,nyse
asg,liberty all-star growth fund,nyse
asgn,on assignment,nyse
ash,ashland inc.,nyse
asi,american safety insurance holdings,nyse
asp,american strategic income portfolio,nyse
asr,grupo aeroporuario del sureste,nyse
asx,advanced semiconductor engineering,nyse
at,atlantic power corp.,nyse
ate,advantest corporation ads,nyse
athl,athlon energy inc.,nyse
ati,allagheny technologies inc.,nyse
atk,alliant techsystems inc.,nyse
atls,atlas energy corp.,nyse
ato,atmos energy llc,nyse
atr,aptargroup,nyse
atu,actuant corp.,nyse
atv,acorn international,nyse
atw,atwood oceanics,nyse
au,anglogold ashanti ltd,nyse
au-a,anglogold ashanti holdings fin,nyse
auo,au optronics corp,nyse
auq,aurico gold inc,nyse
auy,yamana gold,nyse
av,aviva plc,nyse
ava,avista corp.,nyse
avb,avalonbay communities,nyse
avd,american vanguard corp.,nyse
avg,avg technologies n.v.,nyse
aviv ,aviv reit inc. common stock,nyse
avk,advent claymore convertible securities,nyse
avp,avon products,nyse
avt,avnet,nyse
avv,aviva plc,nyse
avx,avx corp.,nyse
avy,avery dennison corp.,nyse
awc,alumina ltd,nyse
awf,alliance world dollar fund ii,nyse
awh,allied world assurance company,nyse
awi,armstrong world industries inc,nyse
awk,american water works,nyse
awp,alpine global premier propertie,nyse
awr,american states water company,nyse
axe,anixter international inc.,nyse
axl,american axle & manufacturing,nyse
axll,georgia gulf corp.,nyse
axp,american express company,nyse
axr,amrep corp.,nyse
axs,axis capital holdings,nyse
axs-c,axis capital holdings limited p,nyse
axs-d,axis capital holdings limited  ,nyse
ayi,acuity brands inc,nyse
ayn,alliance new york muni,nyse
ayr,aircastle limited,nyse
azn,astrazeneca plc,nyse
azo,autozone,nyse
azz,azz inc.,nyse
bca,corpbanca,nyse
bcc,boise cascade l.l.c. common st,nyse
bce,bce,nyse
bcei,bonanza creek energy inc.,nyse
bcf,blackrock real asset equity trust,nyse
bch,banco de chile,nyse
bco,brink's company,nyse
bcr,c.r. bard,nyse
bcs,barclays plc,nyse
bcs-a,barclays ads,nyse
bcs-c,barclays bank 4 ads,nyse
bcs-d,barclays bank plc,nyse
bcs.p,barclays bk adr sr 2,nyse
bcx,blackrock resources common shar,nyse
bdc,belden inc,nyse
bdj,blackrock enhanced dividend achievers,nyse
bdn,brandywine realty trust,nyse
bdn-e,brandywine realty trust,nyse
bdx,becton dickinson and company,nyse
beam,beam inc,nyse
bee,strategic hotels & resorts inc,nyse
bee-a,strategic hotels a,nyse
bee-b,strategic hotel pf b,nyse
bee-c,strategic h&r srs c,nyse
ben,franklin resources,nyse
bep,brookfield renewable,nyse
bery,berry plastics group inc.,nyse
bf.a,brown forman inc a,nyse
bf.b,brown forman inc b,nyse
bfam,bright horizons family solutions inc.,nyse
bfk,blackrock florida muni 2020 trust,nyse
bfr,bbva banco frances s.a.,nyse
bfs,saul centers,nyse
bfs-a,saul ctrs dep pfd a,nyse
bfs-c,saul centers inc,nyse
bfz,blackrock california muni trust,nyse
bg,bunge limited,nyse
bgb,blackstone / gso strategic cre,nyse
bgc,general cable corp.,nyse
bgca,bgc partners inc.,nyse
bge-b,bge capital trust ii,nyse
bgg,briggs & stratton corp.,nyse
bgh,babson capital global short du,nyse
bgr,blackrock energy and resources trust,nyse
bgs,b&g foods holdings,nyse
bgt,blackrock global,nyse
bgx,blacstone gso long short credit fund,nyse
bgy,blackrock international,nyse
bh,biglari holdings inc.,nyse
bhd,blackrock international,nyse
bhe,benchmark electronics,nyse
bhi,baker hughes inc.,nyse
bhk,blackrock core trust,nyse
bhl,blackrock defined opportunity trust,nyse
bhlb,berkshire hills bancorp,nyse
bhp,bhp billiton limited,nyse
bhy,blackrock high yield trust,nyse
bid,sotheby's holdings,nyse
bie,blackrock muni bond investment trust,nyse
bif,uslife income fund,nyse
big,big lots,nyse
bin,iesi-bfc ltd,nyse
bio,bio-rad laboratories,nyse
bio.b,bio rad labs ci b,nyse
bioa,bioamber inc.,nyse
bip,brookfield infrastructure partners lp,nyse
bit,blackrock multi-sector income t,nyse
bita,bitauto holdings limited,nyse
bjz,blackrock california muni 2018 trust,nyse
bk,bank of new york mellon corp.,nyse
bk-c,the bank of new york mellon co,nyse
bkd,brookdale senior living inc.,nyse
bke,buckle,nyse
bkh,black hills corp.,nyse
bki,buckeye technologies,nyse
bkk,blackrock muni 2020 trust,nyse
bkn,blackrock investment quality municipal,nyse
bks,barnes & noble,nyse
bkt,blackrock income trust inc.,nyse
bku,bankunited,nyse
bkw,burger king wordwide,nyse
blc,belo corp.,nyse
blh,blackrock new york muni 2018 trust,nyse
blk,blackrock,nyse
bll,ball corp.,nyse
blox,infoblox inc.,nyse
blt,blount international,nyse
blw,blackrock limited duration income trust,nyse
blx,banco latinoamericano de comercio,nyse
bma,banco macro s.a.,nyse
bme,blackrock health sciences trust,nyse
bmi,badger meter,nyse
bml-g,bank america dep g,nyse
bml-h,bank america dep h,nyse
bml-i,bank america dep i,nyse
bml-l,bank america dep l,nyse
bmo,bank of montreal,nyse
bmr,biomed realty trust,nyse
bms,bemis company,nyse
bmy,bristol-myers squibb company,nyse
bna,blackrock income opportunity trust inc.,nyse
bnj,blackrock new jersey muni income trust,nyse
bnny,annie's inc.,nyse
bns,bank of nova scotia,nyse
bny,blackrock new york muni trust inc.,nyse
boe,blackrock global,nyse
boh,bank of hawaii corp.,nyse
boi,brookfield mortgage opportunit,nyse
born,china new borun corp.,nyse
boxc,brookfield office properties c,nyse
bp,bp p.l.c.,nyse
bpi,bridgepoint education,nyse
bpk,blackrock muni 2018 trust,nyse
bpl,buckeye partners l.p.,nyse
bpo,brookfield properties corp.,nyse
bpt,bp prudhoe bay royalty trust,nyse
bpy,brookfield property partners l.,nyse
bpz,bpz resources inc,nyse
bqh,blackrock new york muni trust   ,nyse
bqr,blackrock ecosolutions investment trust,nyse
br,broadridge financial solutions llc,nyse
brc,brady corp.,nyse
bre,bre properties,nyse
bre-d,bre pptys pfd d,nyse
brfs,brf-brasil foods s.a.,nyse
brk.a,berkshire hath hld a,nyse
brk.b,berkshire hath hld b,nyse
bro,brown & brown,nyse
brp,brookfield residential propert,nyse
brs,bristow group inc,nyse
brss,global brass and copper holdin,nyse
brt,brt realty trust,nyse
bry,berry petroleum company,nyse
bsac,banco santander-chile ads,nyse
bsbr,banco santander brasil sa,nyse
bsd,blackrock strategic muni trust inc.,nyse
bse,blackrock new york muni income trust,nyse
bsi,alon holdings - blue square israel ltd,nyse
bsl,blackstone gso senior floating rate,nyse
bsmx,grupo financiero santander mxi,nyse
bsp,american strategic income portfolio ii,nyse
bsx,boston scientific corp.,nyse
bt,bt group plc,nyse
bta,blackrock long-term muni advantage trust,nyse
bte,baytex energy corp,nyse
btf,boulder total return fund,nyse
bth,blyth,nyse
bto,john hancock bank and thrift fund,nyse
btt,blackrock municipal target term,nyse
btu,peabody energy corp.,nyse
btz,blackrock preferred,nyse
bud,anheuser-busch inbev sa,nyse
bui,blackrock utility and infrastr,nyse
bvn,compania mina beunaventura s.a.,nyse
bwa,borgwarner inc.,nyse
bwc,babcock & wilcox company,nyse
bwg,legg mason bw global income op,nyse
bwp,boardwalk pipeline partners l.p.,nyse
bxc,bluelinx holdings inc.,nyse
bxmt,blackstone mortgage trust inc. ci a,nyse
bxp,boston properties,nyse
bxp-b,boston properties inc.,nyse
bxs,bancorpsouth,nyse
bxs-a,bancorpsouth cp tr i,nyse
byd,boyd gaming corp.,nyse
byi,bally technologies,nyse
bym,blackrock muni income quality trust,nyse
bz,boise inc,nyse
bzh,beazer homes usa,nyse
bzt,beazer homes usa inc. 7.50% tangible,nyse
bzu,beazer homes usa,nyse
c,citigroup inc.,nyse
c-c,citigroup inc.,nyse
c-e,cg cp xvii 6.35 trup,nyse
c-n,citigroup capital xiii,nyse
c-p,citigroup pfd ser aa,nyse
c-q,citigrp cap vi trups,nyse
c-r,citigroup cap x,nyse
c-s,citigroup cap ix 6.0,nyse
c.a,citigroup inc wrnt 'a',nyse
c.b,citigroup inc wrnt 'b',nyse
cab,cabela's inc,nyse
caci,caci international,nyse
cae,cae inc,nyse
